194.165.16.42|2021-05-06|13:06:31,242|PL
194.165.16.43|2021-05-06|13:06:32,583|PL
194.165.16.44|2021-05-06|13:06:44,635|PL
194.165.16.45|2021-05-06|13:06:57,887|PL
194.165.16.46|2021-05-06|13:07:08,119|PL
194.165.16.41|2021-05-06|13:07:21,357|PL
210.16.85.138|2021-05-06|13:24:37,650|IN
210.16.85.138|2021-05-06|13:34:51,204|IN
210.16.85.138|2021-05-06|13:45:02,216|IN
210.16.85.138|2021-05-06|13:55:17,206|IN
194.165.16.89|2021-05-06|15:05:46,030|PL
185.36.81.52|2021-05-06|15:10:14,496|LT
147.83.140.45|2021-05-06|16:38:18,082|ES
147.83.13.68|2021-05-06|16:40:18,277|ES
83.233.124.130|2021-05-06|16:46:56,851|SE
209.141.58.203|2021-05-06|17:26:48,859|US
147.83.13.23|2021-05-06|18:35:04,594|ES
Total=1
